SUB_DISTRICT,TYPE,STATE,CENSUS_CODE_2001,NAME,DISTRICT
Gandhidham,Village,Gujarat,2401001000094600,Galpadar,Kachchh
Jhalod,Village,Gujarat,2418000201276400,Trakda Mahudina Muv,Dohad
Lunawada,Village,Gujarat,2417000401193000,Moti Ghoda,Panch Mahals
Anjar,Village,Gujarat,2401000400031500,Lohariya Nana,Kachchh
Dasada,Village,Gujarat,2408000300575300,Moti Majethi,Surendranagar
Kapadvanj,Village,Gujarat,2416000101083300,Vanta,Kheda
Dehgam,Village,Gujarat,2406000400498200,Punadra,Gandhinagar
Kadi,Village,Gujarat,2404000900331700,Govindpura,Mahesana
Shehera,Village,Gujarat,2417000501203200,Ramjini Nal,Panch Mahals
Balasinor,Village,Gujarat,2416000301094600,Dolat Poyda,Kheda
Jhalod,Village,Gujarat,2418000201274200,Kalajini Sarsavani,Dohad
Lunawada,Village,Gujarat,2417000401191200,Bhuval,Panch Mahals
Dehgam,Village,Gujarat,2406000400498300,Bardoli (Bariya),Gandhinagar
Mandvi,Village,Gujarat,2401000800082100,Rajpar,Kachchh
Anjar,Village,Gujarat,2401000400032000,Meghpar (Borichi),Kachchh
Lunawada,Village,Gujarat,2417000401194600,Nana Dokva,Panch Mahals
Ahmadabad City,Town,Gujarat,2407000540705000,Ranip,Ahmadabad
Viramgam,Village,Gujarat,2407000300512100,Vani,Ahmadabad
Abdasa,Village,Gujarat,2401000700076600,Rapar Gadhvali,Kachchh
Halvad,Village,Gujarat,2408000100556700,Nava Amrapar,Surendranagar
Kapadvanj,Village,Gujarat,2416000101082400,Kotwalna Muvada,Kheda
Dehgam,Village,Gujarat,2406000400497200,Bardoli (Kothi),Gandhinagar
Santrampur,Village,Gujarat,2417000301176200,Satkunda,Panch Mahals
Anjar,Village,Gujarat,2401000400031000,Chandiya,Kachchh
Jhalod,Village,Gujarat,2418000201274100,Devjini Sarasvani,Dohad
